$V02
1783850132,A,50.000000,9.000000,0,55,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850133,A,50.000000,9.000000,0,27,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850134,A,50.000000,9.000000,0,27,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850135,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850136,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850137,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850138,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850139,A,50.000000,9.000000,0,0,100,-4,-11,NO20260712-195504-000000F.MP4,0,0,0
1783850140,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195504-000000F.MP4,0,0,0
1783850141,A,50.000000,9.000000,0,0,100,-5,-11,NO20260712-195604-000001F.MP4,0,0,0
1783850142,A,50.000000,9.000000,0,0,99,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850143,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850144,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850145,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850146,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850147,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850148,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850149,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850150,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850151,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850152,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850153,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850154,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850155,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850156,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850157,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850158,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850159,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850160,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850161,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850162,A,50.000000,9.000000,0,55,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850163,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850164,A,50.000000,9.000000,0,0,99,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850165,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850166,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850167,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850168,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850169,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850170,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850171,A,50.000000,9.000000,0,0,101,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850172,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850173,A,50.000000,9.000000,0,83,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850174,A,50.000000,9.000000,0,0,100,-5,-10,NO20260712-195604-000001F.MP4,0,0,0
1783850175,A,50.000000,9.000000,0,0,100,-4,-13,NO20260712-195604-000001F.MP4,0,0,0
1783850176,A,50.000000,9.000000,0,0,100,-4,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850177,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850178,A,50.000000,9.000000,0,0,100,-4,-14,NO20260712-195604-000001F.MP4,0,0,0
1783850179,A,50.000000,9.000000,0,0,100,-5,-12,NO20260712-195604-000001F.MP4,0,0,0
1783850180,A,50.000000,9.000000,0,0,100,-5,-13,NO20260712-195604-000001F.MP4,0,0,0
1783850181,A,50.000000,9.000000,0,0,100,-5,-13,NO20260712-195604-000001F.MP4,0,0,0
